教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,教育機関_緯度,教育機関_経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
,B1,13,,,,,,前野小学校,,,板橋区,前野町6丁目,40-1,1740063,35.768348,139.687683,,(03)3969-4501,,,,
,B1,13,,,,,,中台小学校,,,板橋区,中台1丁目,9-7,1740064,35.766481,139.681048,,(03)3932-6327,,,,
,B1,13,,,,,,舟渡小学校,,,板橋区,舟渡3丁目,6-15,1740041,35.793627,139.681679,,(03)3969-8405,,,,
,B1,13,,,,,,新河岸小学校,,,板橋区,新河岸1丁目,3-1,1750081,35.793768,139.665140,,(03)3936-8521,,,,
,B1,13,,,,,,富士見台小学校,,,板橋区,前野町1丁目,10-1,1740063,35.763940,139.695165,,(03)3969-8408,,,,
,B1,13,,,,,,蓮根小学校,,,板橋区,蓮根3丁目,10-1,1740046,35.787754,139.676457,,(03)3969-8401,,,,
,B1,13,,,,,,蓮根第二小学校,,,板橋区,蓮根3丁目,15-5,1740046,35.788211,139.677870,,(03)3967-2282,,,,
,B1,13,,,,,,志村坂下小学校,,,板橋区,相生町,26-14,1740044,35.778972,139.680326,,(03)3932-6365,,,,
,B1,13,,,,,,北前野小学校,,,板橋区,前野町5丁目,44-3,1740063,35.773166,139.685220,,(03)3969-8415,,,,
,B1,13,,,,,,緑小学校,,,板橋区,中台3丁目,27-1,1740064,35.772440,139.679450,,(03)3937-4581,,,,
,B1,13,,,,,,若木小学校,,,板橋区,若木1丁目,14-1,1740065,35.769399,139.675508,,(03)3932-6325,,,,
,B1,13,,,,,,板橋第一小学校,,,板橋区,氷川町,13-1,1730013,35.753747,139.707424,,(03)3961-0100,,,,
,B1,13,,,,,,板橋第二小学校,,,板橋区,板橋2丁目,52-1,1730004,35.748775,139.710491,,(03)3961-0200,,,,
,B1,13,,,,,,板橋第四小学校,,,板橋区,板橋4丁目,9-13,1730004,35.750208,139.716608,,(03)3961-0422,,,,
,B1,13,,,,,,板橋第五小学校,,,板橋区,中丸町,19-1,1730026,35.741705,139.704953,,(03)3956-8124,,,,
,B1,13,,,,,,板橋第六小学校,,,板橋区,大山町,13-1,1730023,35.747260,139.700356,,(03)3956-8101,,,,
,B1,13,,,,,,板橋第七小学校,,,板橋区,大山金井町,31-1,1730024,35.745606,139.704721,,(03)3956-8114,,,,
,B1,13,,,,,,板橋第八小学校,,,板橋区,双葉町,42-1,1730011,35.759734,139.700315,,(03)3963-4181,,,,
,B1,13,,,,,,板橋第十小学校,,,板橋区,大谷口上町,43-1,1730032,35.747725,139.692564,,(03)3956-8110,,,,
,B1,13,,,,,,金沢小学校,,,板橋区,加賀2丁目,2-1,1730003,35.755396,139.715170,,(03)3962-2361,,,,
,B1,13,,,,,,中根橋小学校,,,板橋区,栄町,14-1,1730015,35.756149,139.701076,,(03)3962-5511,,,,
,B1,13,,,,,,加賀小学校,,,板橋区,稲荷台,23-1,1730002,35.761421,139.710565,,(03)3962-6445,,,,
,B1,13,,,,,,上板橋小学校,,,板橋区,東山町,47-3,1740073,35.755211,139.686626,,(03)3972-1661,,,,
,B1,13,,,,,,上板橋第二小学校,,,板橋区,小茂根1丁目,14-1,1730037,35.747692,139.680203,,(03)3956-8111,,,,
,B1,13,,,,,,上板橋第四小学校,,,板橋区,上板橋1丁目,3-1,1740076,35.761521,139.678975,,(03)3932-6317,,,,
,B1,13,,,,,,常盤台小学校,,,板橋区,常盤台1丁目,6-1,1740071,35.759626,139.691271,,(03)3969-4601,,,,
,B1,13,,,,,,桜川小学校,,,板橋区,東新町2丁目,29-1,1740074,35.755117,139.678442,,(03)3956-8106,,,,
,B1,13,,,,,,弥生小学校,,,板橋区,弥生町,19-1,1730021,35.753884,139.694564,,(03)3956-8116,,,,
,B1,13,,,,,,大谷口小学校,,,板橋区,大谷口北町,21-1,1730031,35.750977,139.690289,,(03)3956-8108,,,,
,B1,13,,,,,,向原小学校,,,板橋区,向原2丁目,34-1,1730036,35.741442,139.681855,,(03)3956-8134,,,,
,B1,13,,,,,,赤塚小学校,,,板橋区,赤塚3丁目,1-22,1750092,35.777795,139.640490,,(03)3939-0047,,,,
,B1,13,,,,,,成増小学校,,,板橋区,成増1丁目,11-1,1750094,35.774629,139.632192,,(03)3930-0172,,,,
,B1,13,,,,,,赤塚新町小学校,,,板橋区,赤塚新町3丁目,31-1,1750093,35.769452,139.635919,,(03)3977-7811,,,,
,B1,13,,,,,,紅梅小学校,,,板橋区,徳丸8丁目,10-1,1750083,35.781210,139.657508,,(03)3932-6368,,,,
,B1,13,,,,,,北野小学校,,,板橋区,徳丸3丁目,23-1,1750083,35.771580,139.657072,,(03)3933-6161,,,,
,B1,13,,,,,,成増ケ丘小学校,,,板橋区,成増3丁目,17-7,1750094,35.780866,139.634138,,(03)3930-2070,,,,
,B1,13,,,,,,下赤塚小学校,,,板橋区,赤塚6丁目,14-1,1750092,35.774621,139.642897,,(03)3939-0396,,,,
,B1,13,,,,,,徳丸小学校,,,板橋区,徳丸1丁目,21-1,1750083,35.771783,139.666561,,(03)3934-1888,,,,
,B1,13,,,,,,三園小学校,,,板橋区,三園1丁目,24-1,1750091,35.790585,139.637733,,(03)3930-8934,,,,
,B1,13,,,,,,高島第一小学校,,,板橋区,高島平7丁目,24-1,1750082,35.792108,139.659890,,(03)3939-2091,,,,
,B1,13,,,,,,高島第二小学校,,,板橋区,高島平2丁目,25-1,1750082,35.785029,139.661809,,(03)3936-1561,,,,
,B1,13,,,,,,高島第三小学校,,,板橋区,高島平4丁目,21-1,1750082,35.788922,139.650114,,(03)3938-5173,,,,
,B1,13,,,,,,高島第五小学校,,,板橋区,高島平3丁目,11-1,1750082,35.786860,139.656873,,(03)3975-6823,,,,
,B1,13,,,,,,高島第六小学校,,,板橋区,高島平1丁目,50-1,1750082,35.784817,139.670933,,(03)3935-2550,,,,
,E1,12,,,,,,天津わかしお学校,,,鴨川市,天津,1990,2995503,35.124355,140.168540,,(04)7094-0371,,,,
