"都道府県コード又は市区町村コード","No","都道府県名","市区町村名","名称","名称_カナ","名称_通称","POIコード","住所","方書","電話番号","内線番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","説明","バリアフリー情報","URL","備考","郵便番号","アクセス方法","駐車場_有無","駐車場情報","料金_要否","料金_基本","料金_詳細","利用条件_有無","利用条件_詳細","託児所_有無","託児所_詳細","画像","画像_ライセンス","画像_詳細","経度","緯度","分類"
"131148","34","東京都","中野区","桃花小学校","トウカショウガッコウ","","1503a","中野区中央5-43-1","","03-3381-7251","","","","","","","","","","","","164-0011","","","","","","","","","","","","","","139.66616413993","35.7004695009542","小中学校"
"131148","35","東京都","中野区","白桜小学校","ハクオウショウガッコウ","","1503a","中野区上高田1-2-28","","03-3389-0561","","","","","","","","","","","","164-0002","","","","","","","","","","","","","","139.678967959022","35.7098064970522","小中学校"
"131148","36","東京都","中野区","平和の森小学校","ヘイワノモリショウガッコウ","","1503a","中野区新井3-29-1","","03-3389-1451","","","","","","","","","","","","165-0026","","","","","","","","","","","","","","139.65978563979","35.7148932760754","小中学校"
"131148","37","東京都","中野区","緑野小学校","ミドリノショウガッコウ","","1503a","中野区丸山1-17-1","","03-3389-2351","","","","","","","","","","","","165-0021","","","","","","","","","","","","","","139.657358275999","35.725599467621","小中学校"
"131148","38","東京都","中野区","南台小学校","ミナミダイショウガッコウ","","1503a","中野区南台3-44-9","","03-3381-7257","","","","","","","","","","","","164-0014","","","","","","","","","","","","","","139.664264764297","35.6842095240676","小中学校"
"131148","39","東京都","中野区","みなみの小学校","ミナミノショウガッコウ","","1503a","中野区弥生町4-27-11","","03-3381-7250","","","","","","","","","","","","164-0013","","","","","","","","","","","","","","139.669942251999","35.6874225543689","小中学校"
"131148","40","東京都","中野区","美鳩小学校","ミハトショウガッコウ","","1503a","中野区大和町4-26-5","","03-3330-1425","","","","","","","","","","","","165-0034","","","","","","","","","","","","","","139.645041100088","35.7144758684607","小中学校"
"131148","41","東京都","中野区","中野第一小学校","ナカノダイイチショウガッコウ","","1503a","中野区本町3-16-1","","03-3372-2326","","","","","","","","","","","","164-0012","","","","","","","","","","","","","","139.677385077537","35.6959898098946","小中学校"
"131148","42","東京都","中野区","第二中学校","ダイニチュウガッコウ","","1504a","中野区本町5-25-1","","03-3382-7151","","","","","","","","","","","","164-0012","","","","","","","","","","","","","","139.671354406024","35.692561222401","小中学校"
"131148","43","東京都","中野区","第五中学校","ダイゴチュウガッコウ","","1504a","中野区上高田4-28-1","","03-3389-2341","","","","","","","","","","","","164-0002","","","","","","","","","","","","","","139.67841520321","35.715341544942","小中学校"
"131148","44","東京都","中野区","第七中学校","ダイナナチュウガッコウ","","1504a","中野区上高田5-35-3","","03-3389-4171","","","","","","","","","","","","165-0022","","","","","","","","","","","","","","139.674305562582","35.716896685947","小中学校"
"131148","45","東京都","中野区","北中野中学校","キタナカノチュウガッコウ","","1504a","中野区上鷺宮5-7-1","","03-3999-3415","","","","","","","","","","","","165-0031","","","","","","","","","","","","","","139.628531037127","35.7283430913153","小中学校"
"131148","46","東京都","中野区","緑野中学校","ミドリノチュウガッコウ","","1504a","中野区丸山1-1-19","","03-3386-5423","","","","","","","","","","","","165-0021","","","","","","","","","","","","","","139.657294168838","35.7238336710175","小中学校"
"131148","47","東京都","中野区","南中野中学校","ミナミナカノチュウガッコウ","","1504a","中野区南台5-22-17","","03-3381-7277","","","","","","","","","","","","164-0014","","","","","","","","","","","","","","139.662432365158","35.6825689768881","小中学校"
"131148","48","東京都","中野区","中野中学校","ナカノチュウガッコウ","","1504a","中野区中野4-12-3","","03-3389-1471","","","","","","","","","","","","164-0001","","","","","","","","","","","","","","139.661247187591","35.7095397108047","小中学校"
"131148","49","東京都","中野区","中野東中学校","ナカノヒガシチュウガッコウ","","1504a","中野区中央1-41-4","","03-3362-5236","","","","","","","","","","","","164-0011","","","","","","","","","","","","","","139.683590107085","35.6986346654687","小中学校"
"131148","177","東京都","中野区","令和小学校","レイワショウガッコウ","","1503a","中野区新井4-19-26","","03-3389-1461","","","","","","","","","","","","165-0026","","","","","","","","","","","","","","139.66839058403","35.7175254855848","小中学校"
"131148","178","東京都","中野区","明和中学校","メイワチュウガッコウ","","1504a","中野区若宮3-53-16","","03-3330-5325","","","","","","","","","","","","165-0033","","","","","","","","","","","","","","139.640935346439","35.7192331125649","小中学校"
"131148","179","東京都","中野区","鷺の杜小学校","サギノモリショウガッコウ","","1503a","中野区鷺宮4-7-3","","03-5364-7135","","","","","","","","","","","","165-0032","","","","","","","","","","","","","","139.635895393908","35.7238566441377","小中学校"
