"教育機関_学校コード","教育機関_学校種","教育機関_都道府県番号","教育機関_設置区分","教育機関_設置者情報","教育機関_本分校","教育機関_本校学校コード","教育機関_本校学校名","教育機関_学校名","教育機関_学校名カナ表記","教育機関_学校略称","教育機関_学校所在地（市区町村）","教育機関_学校所在地（町字）","教育機関_学校所在地（番地以下）","教育機関_郵便番号","教育機関_緯度","教育機関_経度","教育機関_連絡先名称","教育機関_連絡先電話番号","教育機関_属性情報設定年月日","教育機関_属性情報廃止年月日","教育機関_旧学校調査番号","教育機関_移行後の学校コード"
"","B1","13","","","","","","元加賀小学校","モトカガショウガッコウ","","江東区","白河4丁目","3-19","1350021","35.682011","139.807991","","(03)3641-0601","","","",""
"","B1","13","","","","","","毛利小学校","モウリショウガッコウ","","江東区","毛利2丁目","2-2","1350001","35.691365","139.816282","","(03)3631-1647","","","",""
"","B1","13","","","","","","東川小学校","トウセンショウガッコウ","","江東区","住吉1丁目","12-2","1350002","35.688290","139.812310","","(03)3631-5508","","","",""
"","B1","13","","","","","","豊洲小学校","トヨスショウガッコウ","","江東区","豊洲4丁目","4-4","1350061","35.653860","139.797990","","(03)3531-7788","","","",""
"","B1","13","","","","","","豊洲西小学校","トヨスニシショウガッコウ","","江東区","豊洲5丁目","1-35","1350061","35.651505","139.795468","","(03)3534-2821","","","",""
"","B1","13","","","","","","豊洲北小学校","トヨスキタショウガッコウ","","江東区","豊洲3丁目","6-1","1350061","35.658520","139.798300","","(03)3533-9862","","","",""
"","B1","13","","","","","","東雲小学校","シノノメショウガッコウ","","江東区","東雲2丁目","4-11","1350062","35.642604","139.799207","","(03)3529-1451","","","",""
"","B1","13","","","","","","有明小学校","アリアケショウガッコウ","","江東区","有明2丁目","10-1","1350063","35.640109","139.796146","","(03)3527-5101","","","",""
"","B1","13","","","","","","枝川小学校","エダガワショウガッコウ","","江東区","枝川3丁目","5-3","1350051","35.659637","139.809187","","(03)3644-4941","","","",""
"","B1","13","","","","","","辰巳小学校","タツミショウガッコウ","","江東区","辰巳1丁目","11-1","1350053","35.646517","139.809990","","(03)3521-1164","","","",""
"","B1","13","","","","","","第二辰巳小学校","ダイニタツミショウガッコウ","","江東区","辰巳1丁目","1-22","1350053","35.648533","139.808412","","(03)3521-3803","","","",""
"","B1","13","","","","","","第一亀戸小学校","ダイイチカメイドショウガッコウ","","江東区","亀戸2丁目","5-7","1360071","35.698833","139.822237","","(03)3684-4300","","","",""
"","B1","13","","","","","","第二亀戸小学校","ダイニカメイドショウガッコウ","","江東区","亀戸6丁目","36-1","1360071","35.695585","139.830589","","(03)3684-4303","","","",""
"","B1","13","","","","","","香取小学校","カトリショウガッコウ","","江東区","亀戸4丁目","26-22","1360071","35.703858","139.826098","","(03)3684-4306","","","",""
"","B1","13","","","","","","浅間堅川小学校","センゲンタテカワショウガッコウ","","江東区","亀戸9丁目","22-4","1360071","35.698725","139.841716","","(03)3684-4311","","","",""
"","B1","13","","","","","","水神小学校","スイジンショウガッコウ","","江東区","亀戸5丁目","22-22","1360071","35.700028","139.828505","","(03)3681-1952","","","",""
"","B1","13","","","","","","第一大島小学校","ダイイチオオジマショウガッコウ","","江東区","大島2丁目","41-4","1360072","35.689949","139.825602","","(03)3684-4312","","","",""
"","B1","13","","","","","","第二大島小学校","ダイニオオジマショウガッコウ","","江東区","大島3丁目","16-2","1360073","35.690184","139.829855","","(03)3684-4315","","","",""
"","B1","13","","","","","","第三大島小学校","ダイサンオオジマショウガッコウ","","江東区","大島9丁目","5-3","1360072","35.692593","139.845101","","(03)3681-9204","","","",""
"","B1","13","","","","","","第四大島小学校","ダイヨンオオジマショウガッコウ","","江東区","大島6丁目","7-8","1360072","35.690974","139.834421","","(03)3681-9935","","","",""
"","B1","13","","","","","","第五大島小学校","ダイゴオオジマショウガッコウ","","江東区","大島8丁目","40-13","1360072","35.687817","139.844467","","(03)3681-5011","","","",""
"","B1","13","","","","","","大島南央小学校","オオジマナンオウショウガッコウ","","江東区","大島4丁目","18-5","1360072","35.687232","139.831683","","(03)3636-2116","","","",""
"","B1","13","","","","","","砂町小学校","スナマチショウガッコウ","","江東区","北砂4丁目","13-23","1360073","35.677482","139.829034","","(03)3644-0703","","","",""
"","B1","13","","","","","","第二砂町小学校","ダイニスナマチショウガッコウ","","江東区","東砂7丁目","17-30","1360074","35.674932","139.838755","","(03)3640-5322","","","",""
"","B1","13","","","","","","第三砂町小学校","ダイサンスナマチショウガッコウ","","江東区","南砂6丁目","3-13","1360076","35.672756","139.833915","","(03)3646-4471","","","",""
"","B1","13","","","","","","第四砂町小学校","ダイヨンスナマチショウガッコウ","","江東区","南砂2丁目","13-18","1360076","35.675144","139.821729","","(03)3644-0348","","","",""
"","B1","13","","","","","","第五砂町小学校","ダイゴスナマチショウガッコウ","","江東区","東砂8丁目","11-5","1360074","35.667052","139.838897","","(03)3646-4474","","","",""
"","B1","13","","","","","","第六砂町小学校","ダイロクスナマチショウガッコウ","","江東区","北砂6丁目","26-6","1360073","35.682111","139.838535","","(03)3646-4462","","","",""
"","B1","13","","","","","","第七砂町小学校","ダイナナスナマチショウガッコウ","","江東区","東砂3丁目","21-5","1360074","35.678924","139.842095","","(03)3644-0543","","","",""
"","B1","13","","","","","","小名木川小学校","オナギガワショウガッコウ","","江東区","北砂5丁目","22-10","1360073","35.682403","139.831200","","(03)3644-2029","","","",""
"","B1","13","","","","","","東砂小学校","ヒガシスナショウガッコウ","","江東区","東砂2丁目","12-14","1360074","35.683339","139.844310","","(03)3648-5818","","","",""
"","B1","13","","","","","","北砂小学校","キタスナショウガッコウ","","江東区","北砂1丁目","3-36","1360073","35.683117","139.823500","","(03)3649-3463","","","",""
"","B1","13","","","","","","南砂小学校","ミナミスナショウガッコウ","","江東区","南砂2丁目","3-21","1360076","35.671825","139.825039","","(03)3645-5008","","","",""
"","B1","13","","","","","","亀高小学校","カメタカショウガッコウ","","江東区","北砂5丁目","20-16","1360073","35.684981","139.834081","","(03)3640-5324","","","",""
"","C1","13","","","","","","深川第一中学校","フカガワダイイチチュウガッコウ","","江東区","森下4丁目","9-22","1350004","35.685261","139.805802","","(03)3631-3241","","","",""
"","C1","13","","","","","","深川第二中学校","フカガワダイニチュウガッコウ","","江東区","冬木","22-10","1350041","35.676289","139.800662","","(03)3641-2877","","","",""
"","C1","13","","","","","","深川第三中学校","フカガワダイサンチュウガッコウ","","江東区","越中島3丁目","7-1","1350044","35.666524","139.795624","","(03)3641-5948","","","",""
"","C1","13","","","","","","深川第四中学校","フカガワダイヨンチュウガッコウ","","江東区","千石1丁目","12-12","1350015","35.678614","139.812912","","(03)3644-3077","","","",""
"","C1","13","","","","","","深川第五中学校","フカガワダイゴチュウガッコウ","","江東区","豊洲4丁目","11-18","1350061","35.652414","139.799621","","(03)3531-7785","","","",""
"","C1","13","","","","","","深川第六中学校","フカガワダイロクチュウガッコウ","","江東区","平野3丁目","6-13","1350023","35.678867","139.805625","","(03)3642-4868","","","",""
"","C1","13","","","","","","深川第七中学校","フカガワダイナナチュウガッコウ","","江東区","毛利1丁目","14-1","1350001","35.691331","139.813704","","(03)3631-5990","","","",""
"","C1","13","","","","","","深川第八中学校","フカガワダイハチチュウガッコウ","","江東区","塩浜2丁目","21-14","1350043","35.664741","139.812079","","(03)3641-0581","","","",""
"","C1","13","","","","","","有明中学校","アリアケチュウガッコウ","","江東区","有明2丁目","10-1","1350063","35.640109","139.796146","","(03)3527-8261","","","",""
"","C1","13","","","","","","辰巳中学校","タツミチュウガッコウ","","江東区","辰巳1丁目","10-57","1350053","35.646840","139.811380","","(03)3521-8581","","","",""
"","C1","13","","","","","","東陽中学校","トウヨウチュウガッコウ","","江東区","東陽2丁目","1-8","1350016","35.666766","139.814052","","(03)3645-2381","","","",""
"","C1","13","","","","","","亀戸中学校","カメイドチュウガッコウ","","江東区","亀戸9丁目","2-2","1360071","35.695357","139.841937","","(03)3681-0246","","","",""
"","C1","13","","","","","","第二亀戸中学校","ダイニカメイドチュウガッコウ","","江東区","亀戸4丁目","51-1","1360071","35.702617","139.832428","","(03)3681-7906","","","",""
"","C1","13","","","","","","第三亀戸中学校","ダイサンカメイドチュウガッコウ","","江東区","亀戸1丁目","12-10","1360071","35.695301","139.821747","","(03)3684-4320","","","",""
"","C1","13","","","","","","大島中学校","オオジマチュウガッコウ","","江東区","大島8丁目","12-22","1360072","35.686416","139.839903","","(03)3684-4321","","","",""
"","C1","13","","","","","","第二大島中学校","ダイニオオジマチュウガッコウ","","江東区","大島3丁目","27-18","1360072","35.691653","139.831117","","(03)3685-1681","","","",""
"","C1","13","","","","","","大島西中学校","オオジマニシチュウガッコウ","","江東区","大島4丁目","1-23","1360072","35.686315","139.827739","","(03)3636-4591","","","",""
"","C1","13","","","","","","砂町中学校","スナマチチュウガッコウ","","江東区","北砂6丁目","16-28","1360073","35.685227","139.837159","","(03)3644-3096","","","",""
"","C1","13","","","","","","第二砂町中学校","ダイニスナマチチュウガッコウ","","江東区","東砂8丁目","10-9","1360074","35.668348","139.839455","","(03)3646-4464","","","",""
"","C1","13","","","","","","第三砂町中学校","ダイサンスナマチチュウガッコウ","","江東区","南砂3丁目","10-3","1360076","35.670198","139.829699","","(03)3649-2152","","","",""
"","C1","13","","","","","","第四砂町中学校","ダイヨンスナマチチュウガッコウ","","江東区","北砂5丁目","20-17","1360073","35.684714","139.831608","","(03)3699-1591","","","",""
"","C1","13","","","","","","南砂中学校","ミナミスナチュウガッコウ","","江東区","南砂2丁目","3-20","1360076","35.673307","139.823682","","(03)3646-4477","","","",""
"","C1","13","","","","","","第二南砂中学校","ダイニミナミスナチュウガッコウ","","江東区","南砂1丁目","2-18","1360076","35.678156","139.820937","","(03)3644-0569","","","",""
"","","13","","","","","","有明西学園","アリアケニシガクエン","","江東区","有明1丁目","7-13","1350063","35.639416","139.789352","","前期課程（03）3527-6401　後期課程（03）3527-6403","","","",""
